Data e hora (TUC),Reproduções
"01/04/2023 00:00:00",61
"02/04/2023 00:00:00",64
"03/04/2023 00:00:00",145
"04/04/2023 00:00:00",120
"05/04/2023 00:00:00",144
"06/04/2023 00:00:00",135
"07/04/2023 00:00:00",83
"08/04/2023 00:00:00",61
"09/04/2023 00:00:00",61
"10/04/2023 00:00:00",100
"11/04/2023 00:00:00",120
"12/04/2023 00:00:00",103
"13/04/2023 00:00:00",83
"14/04/2023 00:00:00",113
"15/04/2023 00:00:00",71
"16/04/2023 00:00:00",72
"17/04/2023 00:00:00",122
"18/04/2023 00:00:00",127
"19/04/2023 00:00:00",80
"20/04/2023 00:00:00",86
"21/04/2023 00:00:00",69
"22/04/2023 00:00:00",46
"23/04/2023 00:00:00",63
"24/04/2023 00:00:00",121
"25/04/2023 00:00:00",137
"26/04/2023 00:00:00",147
"27/04/2023 00:00:00",161
"28/04/2023 00:00:00",230
"29/04/2023 00:00:00",213
"30/04/2023 00:00:00",95
